Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,AU,7,2023,85,U,false,JMC,OCTOBER,2023,Lecture 5
1,AU,7,2023,85,U,false,PYC,DECEMBER,2023,Lecture 10
2,GB,5,2023,84,M,true,JMC,JUNE,2023,Lecture 10
2,GB,5,2023,84,M,true,PYC,DECEMBER,2023,Lecture 14
3,GB,3,2015,68,U,false,JMC,SEPTEMBER,2016,Lecture 3
3,GB,3,2015,68,U,false,PYC,APRIL,2018,Lecture 3
4,CN,1,2021,53,F,true,JMC,DECEMBER,2023,Lecture 9
4,CN,1,2021,53,F,true,PYC,AUGUST,2023,Lecture 10
5,GB,5,2020,38,M,true,JMC,JUNE,2022,Lecture 1
5,GB,5,2020,38,M,true,PYC,APRIL,2023,Lecture 5
6,IN,8,2023,53,F,true,JMC,MARCH,2023,Lecture 13
6,IN,8,2023,53,F,true,PYC,DECEMBER,2023,Lecture 8
7,CN,2,2019,43,U,false,JMC,NOVEMBER,2023,Lecture 5
7,CN,2,2019,43,U,false,PYC,JUNE,2023,Lecture 4
8,GB,3,2023,52,U,true,JMC,JULY,2023,Lecture 4
8,GB,3,2023,52,U,true,PYC,JULY,2023,Lecture 10
9,CN,1,2015,71,F,true,JMC,NOVEMBER,2023,Lecture 14
9,CN,1,2015,71,F,true,PYC,FEBRUARY,2015,Lecture 13
10,AU,9,2017,32,F,true,JMC,JULY,2017,Lecture 2
10,AU,9,2017,32,F,true,PYC,OCTOBER,2022,Lecture 5
11,CN,11,2017,49,U,false,JMC,DECEMBER,2022,Lecture 10
11,CN,11,2017,49,U,false,PYC,JANUARY,2023,Lecture 5
12,US,3,2022,79,U,true,JMC,SEPTEMBER,2022,Lecture 10
12,US,3,2022,79,U,true,PYC,MAY,2022,Lecture 1
13,IN,4,2022,65,F,true,JMC,OCTOBER,2023,Lecture 9
13,IN,4,2022,65,F,true,PYC,OCTOBER,2023,Lecture 3
14,GB,12,2019,80,F,true,JMC,AUGUST,2022,Lecture 4
14,GB,12,2019,80,F,true,PYC,SEPTEMBER,2021,Lecture 7
15,CN,12,2019,28,U,true,JMC,OCTOBER,2023,Lecture 1
15,CN,12,2019,28,U,true,PYC,MAY,2022,Lecture 12
16,AU,1,2023,59,F,true,JMC,FEBRUARY,2023,Lecture 3
16,AU,1,2023,59,F,true,PYC,JULY,2023,Lecture 9
17,US,9,2019,34,U,false,JMC,OCTOBER,2020,Lecture 7
17,US,9,2019,34,U,false,PYC,AUGUST,2020,Lecture 5
18,US,5,2018,53,F,false,JMC,AUGUST,2019,Lecture 9
18,US,5,2018,53,F,false,PYC,NOVEMBER,2020,Lecture 12
19,GB,11,2021,44,U,true,JMC,JUNE,2022,Lecture 5
19,GB,11,2021,44,U,true,PYC,JULY,2022,Lecture 3
20,US,1,2022,70,U,false,JMC,AUGUST,2022,Lecture 6
20,US,1,2022,70,U,false,PYC,JULY,2022,Lecture 9
21,CN,3,2023,45,F,false,JMC,APRIL,2023,Lecture 2
21,CN,3,2023,45,F,false,PYC,JANUARY,2023,Lecture 9
22,CN,6,2022,71,M,true,JMC,FEBRUARY,2022,Lecture 6
22,CN,6,2022,71,M,true,PYC,MARCH,2022,Lecture 3
23,US,1,2018,39,U,true,JMC,JULY,2023,Lecture 7
23,US,1,2018,39,U,true,PYC,APRIL,2018,Lecture 5
24,US,4,2023,32,F,false,JMC,DECEMBER,2023,Lecture 8
24,US,4,2023,32,F,false,PYC,DECEMBER,2023,Lecture 1
25,AU,2,2021,32,M,false,JMC,FEBRUARY,2022,Lecture 13
25,AU,2,2021,32,M,false,PYC,MARCH,2023,Lecture 8
